NC_015680	650942218	225374	225868
NC_015680	650942219	226093	228018
NC_015680	650942214	219457	222354
NC_015680	650942215	222539	223558
NC_015680	650942216	223595	223774
NC_015680	650942217	224744	225373
NC_015680	650942210	215115	216077
NC_015680	650942211	216131	216682
NC_015680	650942212	216732	217091
NC_015680	650942213	217292	218530
NC_015680	650943345	1225559	1226071
NC_015680	650943344	1224907	1225512
NC_015680	650943347	1227949	1228605
NC_015680	650943346	1226081	1227850
NC_015680	650943341	1221655	1222662
NC_015680	650943340	1220947	1221624
NC_015680	650943343	1223761	1224903
NC_015680	650943342	1222656	1223684
NC_015680	650943349	1229490	1230662
NC_015680	650943348	1228602	1229399
NC_015680	650942339	328086	328913
NC_015680	650942100	136988	137380
NC_015680	650942101	137391	137945
NC_015680	650942102	137956	138342
NC_015680	650942103	138352	138804
NC_015680	650942104	138810	139421
NC_015680	650942105	139418	140128
NC_015680	650942106	140140	140607
NC_015680	650942107	140619	141062
NC_015680	650942108	141097	142503
NC_015680	650942109	142562	143152
NC_015680	650943598	1460860	1461930
NC_015680	650942862	805513	805749
NC_015680	650942922	856884	857126
NC_015680	650942923	857440	857985
NC_015680	650943439	1306230	1307015
NC_015680	650943438	1305456	1306169
NC_015680	650942926	858976	859095
NC_015680	650942927	859259	859600
NC_015680	650942924	858142	858402
NC_015680	650942925	858451	858972
NC_015680	650943433	1301841	1302830
NC_015680	650943432	1301086	1301805
NC_015680	650942928	859625	859981
NC_015680	650942929	859983	860144
NC_015680	650943437	1305239	1305463
NC_015680	650943436	1304206	1305051
NC_015680	650943435	1303304	1304206
NC_015680	650943434	1302827	1303297
NC_015680	650943592	1456171	1456677
NC_015680	650942698	639870	640283
NC_015680	650942699	640295	641185
NC_015680	650943593	1456772	1457443
NC_015680	650942690	631956	633650
NC_015680	650942691	633839	635785
NC_015680	650942692	635782	636228
NC_015680	650942693	636387	637136
NC_015680	650942694	637151	637984
NC_015680	650942695	638041	638475
NC_015680	650942696	638456	639112
NC_015680	650942697	639109	639873
NC_015680	650943509	1373034	1373756
NC_015680	650943508	1372064	1373056
NC_015680	650943507	1370913	1372067
